Note,Low midtone (Hz),In tune (Hz),High midtone (Hz),Semitone index (A4=69)
E0,20.01523126408007,20.601722307054366,21.205398849359185,16
F0,21.205398849359188,21.826764464562746,22.46633748206513,17
F#0,22.46633748206512,23.12465141947715,23.802255427668936,18
G0,23.80225542766893,24.499714748859326,25.217611188128455,19
G#0,25.217611188128462,25.956543598746574,26.717128381724166,20
A0,26.71712838172416,27.5,28.30581150769603,21
A#0,28.30581150769603,29.13523509488062,29.98896264829459,22
B0,29.988962648294578,30.86770632850775,31.7721991639875,23
C1,31.772199163987505,32.70319566257483,33.66147244087802,24
C#1,33.661472440878015,34.64782887210901,35.66308775290276,25
D1,35.66308775290276,36.70809598967594,37.78372530509745,26
D#1,37.78372530509745,38.890872965260115,40.03046252816016,27
E1,40.03046252816016,41.20344461410875,42.41079769871838,28
F1,42.41079769871837,43.653528929125486,44.93267496413025,29
F#1,44.93267496413024,46.2493028389543,47.60451085533787,30
G1,47.60451085533787,48.999429497718666,50.435222376256924,31
G#1,50.43522237625692,51.91308719749314,53.434256763448325,32
A1,53.43425676344832,55.0,56.61162301539206,33
A#1,56.61162301539206,58.27047018976124,59.97792529658918,34
B1,59.977925296589156,61.7354126570155,63.544398327975,35
C2,63.54439832797501,65.40639132514966,67.32294488175604,36
C#2,67.32294488175603,69.29565774421802,71.32617550580552,37
D2,71.32617550580552,73.41619197935188,75.5674506101949,38
D#2,75.5674506101949,77.78174593052023,80.06092505632031,39
E2,80.06092505632031,82.4068892282175,84.82159539743677,40
F2,84.82159539743674,87.30705785825097,89.8653499282605,41
F#2,89.86534992826049,92.4986056779086,95.20902171067574,42
G2,95.20902171067574,97.99885899543733,100.87044475251385,43
G#2,100.87044475251383,103.82617439498628,106.86851352689665,44
A2,106.86851352689663,110.0,113.22324603078413,45
A#2,113.22324603078413,116.54094037952248,119.95585059317835,46
B2,119.95585059317834,123.47082531403103,127.08879665595003,47
C3,127.08879665595002,130.8127826502993,134.6458897635121,48
C#3,134.64588976351206,138.59131548843604,142.65235101161105,49
D3,142.65235101161107,146.8323839587038,151.13490122038982,50
D#3,151.1349012203898,155.56349186104046,160.12185011264063,51
E3,160.1218501126406,164.81377845643496,169.6431907948735,52
F3,169.64319079487348,174.61411571650194,179.730699856521,53
F#3,179.73069985652097,184.9972113558172,190.41804342135148,54
G3,190.41804342135146,195.99771799087463,201.74088950502767,55
G#3,201.74088950502767,207.65234878997256,213.7370270537933,56
A3,213.73702705379327,220.0,226.44649206156825,57
A#3,226.44649206156825,233.08188075904496,239.9117011863567,58
B3,239.91170118635668,246.94165062806206,254.17759331190007,59
C4,254.17759331190004,261.6255653005986,269.2917795270242,60
C#4,269.2917795270241,277.1826309768721,285.3047020232221,61
D4,285.30470202322215,293.6647679174076,302.26980244077964,62
D#4,302.2698024407796,311.1269837220809,320.24370022528126,63
E4,320.2437002252812,329.6275569128699,339.286381589747,64
F4,339.28638158974695,349.2282314330039,359.461399713042,65
